REFACTORINGS (LABELS),FEATURE REQUEST,SMELLS
"   Rename Method,Move Attribute,","Connection isolation for Avatica clients Avatica should manage independent connections to it's underlying data source for each client connection. Clients should be isolated from each other, so that one's statements don't collide with another's.",", , "
"   Rename Method,Extract Method,Pull Up Attribute,","Pass server-side exceptions back to the client Avatica RPC response objects should contain an exception field that can be deserialized and re-thrown on the client side. That way client sees stack traces that are more meaningful than ""500 error"".","Duplicated Code, Long Method, , Duplicated Code, "
"   Rename Method,Move Method,Extract Method,Move Attribute,","DML in Avatica, and split Execute out from Fetch request 0","Duplicated Code, Long Method, , , , "
"   Push Down Method,Push Down Attribute,","Provide a way for the Avatica client to query the server versions Currently there doesn't seem to be a way for Avatica clients to find out the Avatica RPC protocol version and versions of other server components.

The use case here is to allow the Apache Phoenix clients to request the Avatica version, Phoenix version and HBase version from the Phoenix Query Server.",", , , "
"   Rename Method,Extract Method,Move Attribute,","Enable client to recover from missing server-side state When deploying more than one instance of an avatica-server, we have the desire to treat the collection of servers as a single server. Ideally, we want to have the avatica-client operate in a manner that doesn't expect a server to have specific state For example, the avatica-client should be able to know that when a server doesn't have a statement with the ID the client thinks it should, the client can create a new statement.

This is desirable because it allows us to use a generic load-balancer between clients and servers without the need for clustering or sticky sessions. The downside is that in the face of failure, operations will take longer than normal. Even with the performance hit, as long as an avatica-server exists, the client can still retrieve the results for some query which is ideal (tl;dr it will take longer, but the client still gets the answer).

Two major areas that need to be addressed presently are:

1. Automatic recreation of Statements when they are not cached
2. Recreation of ResultSets to resume iteration (for fetch()). This depends on ""stable results"" by the underlying JDBC driver, otherwise external synchronization would be required. This is considered a prerequisite.","Duplicated Code, Long Method, , , "
"   Rename Method,","Support stream joins Stream joins are used to relate information from different streams or stream and relation combinations. Calcite lacks (proper) support for stream-to-relation joins and stream-to-stream joins.

stream-to-relation join like below fails at the SQL validation stage.

select stream orders.orderId, orders.productId, products.name from orders join products on orders.productId = products.id

But if 'products' is a stream, the query is valid according to Calcite, even though the stream-to-stream join in above query is not valid due to unbounded nature of streams.",", "
"   Push Down Method,Extract Method,Push Down Attribute,","Provide generic server metadata in responses Some follow on from CALCITE-903:

The assumption in that work was that the common case in running behind a load-balancer is that a given client would continue to be routed back to the same avatica server instance. Sadly, this is not necessarily reality.

If the only load balancer technology available is only capable of an round-robin algorithm (or similar), we need to provide the information for a client to make a decision to return to the same server upon subsequent requests (e.g. fetching the next page of results).

Thinking more generally, the server which processed a given request is just general metadata. We could include things like the Avatica version, the ""real"" JDBC version information, etc.","Duplicated Code, Long Method, , , , "
"   Rename Method,Extract Method,","Support INPUT_FILES Currently we support INPUT_SEGMENT_NUMBERS to reading from specified segments, but will reading all data for one segment, so add INPUT_FILES to reading from specified files.","Duplicated Code, Long Method, , "
"   Rename Method,Move Method,Extract Method,Move Attribute,","Change query related RDD to use TableInfo Currently query related RDD is using CarbonTable which is read from file system, which introduces unnecessary file read. We can pass this schema information from driver by serializing TableInfo.","Duplicated Code, Long Method, , , , "
"   Rename Class,Rename Method,Push Down Method,Push Down Attribute,","Secure Dictionary Server Port Secure Dictionary Server Port Implementation.

During single pass load  Dictionary key creation is done through driver and executor communication through external ports. The communication will happen through TCP communication which is not secure or encrypted.
But in case spark turn on Security parameters then carbon dictionary ports also has to follows same authentication and encryption i.e. communicate through SASL Authentication protocol and Digest-MD5 encryption.
This PR makes the dictionary server and client communication Secure and encrypted. In case spark turn ON security and authentication through the below parameters then Carbon communication also becomes secure. 
By default the communication is still non secure. 

Parameters 
*spark.authenticate true
spark.authenticate.enableSaslEncryption true
spark.authenticate.secret*",", , , "
"   Rename Method,Move Method,Extract Method,","Add the blocklet info to index file and make the datamap distributable with job Add the blocklet info to index file and make the datamap distributable with job

1. Add the blocklet info to the carbonindex file, so datamap not required to read each carbondata file footer to the blocklet information. This makes the datamap loading faster.

2. Make the data map distributable and add to the spark job. So datamap pruning could happen distributable and pruned blocklet list would be sent to driver.","Duplicated Code, Long Method, , , "
"   Pull Up Method,Extract Method,Pull Up Attribute,","Add a value based compression for decimal data type when decimal is stored as Int or Long Added a value based compression for decimal data type when decimal is stored as Int or Long

When decimal precision is <= 9, decimal values are stored in 4 bytes but they are not compressed further based on min and max values as compared with other primitive data type compression. Therefore now based on min and max value decimal data falling in Integer range will be further compressed as byte or short.
When decimal precision is <= 18, decimal values are stored in 8 bytes but they are not compressed further based on min and max values as compared with other primitive data type compression. Therefore now based on min and max value decimal data falling in Long range will be further compressed as byte, short or int.
Advantage: This will reduce the storage space thereby decreasing the IO time while reading and decompressing the data.","Duplicated Code, Long Method, , Duplicated Code, Duplicated Code, "
"   Rename Method,","CarbonData unsupport Boolean data type   Spark/Hive table support Boolean data type, the internal table also should support Boolean data type.

   Boolean data type Range: TRUE or FALSE. Do not use quotation marks around the TRUE and FALSE literal values. You can write the literal values in uppercase, lowercase, or mixed case. The values queried from a table are always returned in lowercase, true or false.
    In implementing this function, we employ:
#       endcoding: RLE
#       data expression: byte array
        
    CarbonData should support boolean data type in following aspects:

#       create table: support Boolean data type
#       insert into table values: support insert Boolean column 
#       insert overwrite
#       insert into table select from another table
#       select from a table
#       load data: from a local csv file
#       filter: including >=, >, =, <=, <, =, !=, in, not in
#       describle: should show boolean data type

We also add some test cases in booleantype directory of spark2",", "
"   Push Down Method,Extract Method,Push Down Attribute,","Get the detailed blocklet information using default BlockletDataMap for other datamaps All the detail information of blocklet which is need for exceuting query is present only BlockletDataMap. It is actually default datamap.
So if new datamap is added then it gives only information of blocklet and blockid, it is insuffucient information to exceute query.
Please add the functionality to retrieve detailed blocklet information from the BlockletDataMap based on block and blocklet id","Duplicated Code, Long Method, , , , "
"   Rename Method,Extract Method,Inline Method,","Support Database Location Configuration while Creating Database/ Support Creation of carbon Table in the database location Support Creation of carbon table at the database location
*Please refer to  for Design and discussion:*
http://apache-carbondata-dev-mailing-list-archive.1130556.n5.nabble.com/DISCUSSION-Support-Database-Location-Configuration-while-Creating-Database-td23492.html","Duplicated Code, Long Method, , , "
"   Rename Method,","Add Event Listener interface to Carbondata Add Event Listener interface to Carbondata. This will allow extending the current functionality of various commands to perform various other operations.
Example: After completion of load process, if any aggregate tables are created on that table, then data load operation need to be done for the aggregate table also. In this case we can create a listener such as AggregateLoadListener and register it as an event bus. Then this listener can be called once the load operation is completed which will take care of loading the aggregate table.",", "
"   Move Method,Extract Method,Move Attribute,","Add scale and decimal to DecimalType DecimalType should include scale and precision, and all scale and precision class member outside DecimalType should be removed","Duplicated Code, Long Method, , , , "
"   Move Method,Extract Method,","Merging carbonindex files for each segment. Hi,

Problem :
 The first-time query of carbon becomes very slow. It is because of reading many small carbonindex files and cache to the driver at the first time. 
 Many carbonindex files are created in below case
 Loading data in large cluster
   For example, if the cluster size is 100 nodes then for each load 100 index files are created per segment. So after 100 loads, the number of carbonindex files becomes 10000. .

It will be slower to read all the files from the driver since a lot of namenode calls and IO operations.

Solution :
Merge the carbonindex files in two levels.so that we can reduce the IO calls to namenode and improves the read performance.

Merge within a segment.
Merge the carbonindex files to single file immediately after load completes within the segment. It would be named as a .carbonindexmerge file. It is actually not a true data merging but a simple file merge. So that the current structure of carbonindex files does not change. While reading we just read one file instead of many carbonindex files within the segment.

","Duplicated Code, Long Method, , , "
"   Rename Method,Inline Method,","Filter Optimization If the include filter can give us more than 60% of the block data, then include filter can be converted to exclude filter",", , "
"   Rename Method,","Clean up store path interface There are many getStorePath API, it should be unified in one place",", "
"   Rename Class,Move Method,Extract Method,Inline Method,",GeneriVectorizedReader for Presto Write a Generic Vectorized Reader for Presto to remove the dependencies on spark,"Duplicated Code, Long Method, , , , "
"   Rename Method,",Refactor SortStepRowUtil to make it more readable Refactor and optimize `SortRowStepUtil` to make it efficient and more readable.,", "
"   Rename Method,Extract Method,",Support specify tablePath when creating table User should be able to specify table path when creating table,"Duplicated Code, Long Method, , "
"   Rename Class,Rename Method,Inline Method,Move Attribute,","Optimization in reading/writing for sort temp row during data loading # SCENARIO

Currently in carbondata data loading, during sort process step, records will be sorted partially and spilled to the disk. And then carbondata will read these records and do merge sort.

Since sort step is CPU-tense, during writing/reading these records, we can optimize the serialization/deserialization for these rows and reduce CPU consumption in parsing the rows.

This should enhance the data loading performance.

# RESOLVE
We can pick up the un-sorted fields in the row and pack them as bytes array and skip paring them.

# RESULT

I've tested it in my cluster and seen about 8% performance gained (74MB/s/Node -> 81MB/s/Node).",", , , "
"   Rename Class,Rename Method,Extract Method,Move Attribute,","Optimization in reading/writing for sort temp row during data loading # SCENARIO

Currently in carbondata data loading, during sort process step, records will be sorted partially and spilled to the disk. And then carbondata will read these records and do merge sort.

Since sort step is CPU-tense, during writing/reading these records, we can optimize the serialization/deserialization for these rows and reduce CPU consumption in parsing the rows.

This should enhance the data loading performance.

# RESOLVE
We can pick up the un-sorted fields in the row and pack them as bytes array and skip paring them.

# RESULT

I've tested it in my cluster and seen about 8% performance gained (74MB/s/Node -> 81MB/s/Node).","Duplicated Code, Long Method, , , "
"   Rename Class,Rename Method,Extract Method,Move Attribute,","Optimization in reading/writing for sort temp row during data loading # SCENARIO

Currently in carbondata data loading, during sort process step, records will be sorted partially and spilled to the disk. And then carbondata will read these records and do merge sort.

Since sort step is CPU-tense, during writing/reading these records, we can optimize the serialization/deserialization for these rows and reduce CPU consumption in parsing the rows.

This should enhance the data loading performance.

# RESOLVE
We can pick up the un-sorted fields in the row and pack them as bytes array and skip paring them.

# RESULT

I've tested it in my cluster and seen about 8% performance gained (74MB/s/Node -> 81MB/s/Node).","Duplicated Code, Long Method, , , "
"   Rename Class,Rename Method,Extract Method,Move Attribute,","Optimization in reading/writing for sort temp row during data loading # SCENARIO

Currently in carbondata data loading, during sort process step, records will be sorted partially and spilled to the disk. And then carbondata will read these records and do merge sort.

Since sort step is CPU-tense, during writing/reading these records, we can optimize the serialization/deserialization for these rows and reduce CPU consumption in parsing the rows.

This should enhance the data loading performance.

# RESOLVE
We can pick up the un-sorted fields in the row and pack them as bytes array and skip paring them.

# RESULT

I've tested it in my cluster and seen about 8% performance gained (74MB/s/Node -> 81MB/s/Node).","Duplicated Code, Long Method, , , "
"   Rename Class,Rename Method,Extract Method,Move Attribute,","Optimization in reading/writing for sort temp row during data loading # SCENARIO

Currently in carbondata data loading, during sort process step, records will be sorted partially and spilled to the disk. And then carbondata will read these records and do merge sort.

Since sort step is CPU-tense, during writing/reading these records, we can optimize the serialization/deserialization for these rows and reduce CPU consumption in parsing the rows.

This should enhance the data loading performance.

# RESOLVE
We can pick up the un-sorted fields in the row and pack them as bytes array and skip paring them.

# RESULT

I've tested it in my cluster and seen about 8% performance gained (74MB/s/Node -> 81MB/s/Node).","Duplicated Code, Long Method, , , "
"   Rename Class,Rename Method,Extract Method,Move Attribute,","Optimization in reading/writing for sort temp row during data loading # SCENARIO

Currently in carbondata data loading, during sort process step, records will be sorted partially and spilled to the disk. And then carbondata will read these records and do merge sort.

Since sort step is CPU-tense, during writing/reading these records, we can optimize the serialization/deserialization for these rows and reduce CPU consumption in parsing the rows.

This should enhance the data loading performance.

# RESOLVE
We can pick up the un-sorted fields in the row and pack them as bytes array and skip paring them.

# RESULT

I've tested it in my cluster and seen about 8% performance gained (74MB/s/Node -> 81MB/s/Node).","Duplicated Code, Long Method, , , "
"   Rename Class,Rename Method,Extract Method,Move Attribute,","Optimization in reading/writing for sort temp row during data loading # SCENARIO

Currently in carbondata data loading, during sort process step, records will be sorted partially and spilled to the disk. And then carbondata will read these records and do merge sort.

Since sort step is CPU-tense, during writing/reading these records, we can optimize the serialization/deserialization for these rows and reduce CPU consumption in parsing the rows.

This should enhance the data loading performance.

# RESOLVE
We can pick up the un-sorted fields in the row and pack them as bytes array and skip paring them.

# RESULT

I've tested it in my cluster and seen about 8% performance gained (74MB/s/Node -> 81MB/s/Node).","Duplicated Code, Long Method, , , "
"   Rename Class,Rename Method,Inline Method,Move Attribute,","Optimization in reading/writing for sort temp row during data loading # SCENARIO

Currently in carbondata data loading, during sort process step, records will be sorted partially and spilled to the disk. And then carbondata will read these records and do merge sort.

Since sort step is CPU-tense, during writing/reading these records, we can optimize the serialization/deserialization for these rows and reduce CPU consumption in parsing the rows.

This should enhance the data loading performance.

# RESOLVE
We can pick up the un-sorted fields in the row and pack them as bytes array and skip paring them.

# RESULT

I've tested it in my cluster and seen about 8% performance gained (74MB/s/Node -> 81MB/s/Node).",", , , "
"   Rename Method,Extract Method,","Optimization in data loading for skewed data In one of my cases, carbondata has to load skewed data files. The size of data file ranges from 1KB to about 5GB.

In current implementation, carbondata will distribute the file blocks(splits) among the nodes to maximum the data locality and data evenly distributed, we call it `block-node-assignment` for short.

However, the current implementation has some problems.

The assignment is block number based. The goal is to make sure that all the nodes deal the same amount number of blocks. In the skewed data scenario described above, the block of a small file and the block of a big file are very different from its size (1KB v.s. 64MB). As a result, the difference of total data size assigned for each data node is very large.

In order to solve this problem, the size of block should be considered during the block-node-assignment. One node can deal more blocks than another as long as the total size of blocks are almost the same.","Duplicated Code, Long Method, , "
"   Rename Method,","Optimization in data loading for skewed data In one of my cases, carbondata has to load skewed data files. The size of data file ranges from 1KB to about 5GB.

In current implementation, carbondata will distribute the file blocks(splits) among the nodes to maximum the data locality and data evenly distributed, we call it `block-node-assignment` for short.

However, the current implementation has some problems.

The assignment is block number based. The goal is to make sure that all the nodes deal the same amount number of blocks. In the skewed data scenario described above, the block of a small file and the block of a big file are very different from its size (1KB v.s. 64MB). As a result, the difference of total data size assigned for each data node is very large.

In order to solve this problem, the size of block should be considered during the block-node-assignment. One node can deal more blocks than another as long as the total size of blocks are almost the same.",", "
"   Rename Method,","Optimization in data loading for skewed data In one of my cases, carbondata has to load skewed data files. The size of data file ranges from 1KB to about 5GB.

In current implementation, carbondata will distribute the file blocks(splits) among the nodes to maximum the data locality and data evenly distributed, we call it `block-node-assignment` for short.

However, the current implementation has some problems.

The assignment is block number based. The goal is to make sure that all the nodes deal the same amount number of blocks. In the skewed data scenario described above, the block of a small file and the block of a big file are very different from its size (1KB v.s. 64MB). As a result, the difference of total data size assigned for each data node is very large.

In order to solve this problem, the size of block should be considered during the block-node-assignment. One node can deal more blocks than another as long as the total size of blocks are almost the same.",", "
"   Rename Class,Rename Method,Inline Method,Move Attribute,","Optimization in data loading for skewed data In one of my cases, carbondata has to load skewed data files. The size of data file ranges from 1KB to about 5GB.

In current implementation, carbondata will distribute the file blocks(splits) among the nodes to maximum the data locality and data evenly distributed, we call it `block-node-assignment` for short.

However, the current implementation has some problems.

The assignment is block number based. The goal is to make sure that all the nodes deal the same amount number of blocks. In the skewed data scenario described above, the block of a small file and the block of a big file are very different from its size (1KB v.s. 64MB). As a result, the difference of total data size assigned for each data node is very large.

In order to solve this problem, the size of block should be considered during the block-node-assignment. One node can deal more blocks than another as long as the total size of blocks are almost the same.",", , , "
"   Rename Method,","Optimization in data loading for skewed data In one of my cases, carbondata has to load skewed data files. The size of data file ranges from 1KB to about 5GB.

In current implementation, carbondata will distribute the file blocks(splits) among the nodes to maximum the data locality and data evenly distributed, we call it `block-node-assignment` for short.

However, the current implementation has some problems.

The assignment is block number based. The goal is to make sure that all the nodes deal the same amount number of blocks. In the skewed data scenario described above, the block of a small file and the block of a big file are very different from its size (1KB v.s. 64MB). As a result, the difference of total data size assigned for each data node is very large.

In order to solve this problem, the size of block should be considered during the block-node-assignment. One node can deal more blocks than another as long as the total size of blocks are almost the same.",", "
"   Rename Method,","Optimization in data loading for skewed data In one of my cases, carbondata has to load skewed data files. The size of data file ranges from 1KB to about 5GB.

In current implementation, carbondata will distribute the file blocks(splits) among the nodes to maximum the data locality and data evenly distributed, we call it `block-node-assignment` for short.

However, the current implementation has some problems.

The assignment is block number based. The goal is to make sure that all the nodes deal the same amount number of blocks. In the skewed data scenario described above, the block of a small file and the block of a big file are very different from its size (1KB v.s. 64MB). As a result, the difference of total data size assigned for each data node is very large.

In order to solve this problem, the size of block should be considered during the block-node-assignment. One node can deal more blocks than another as long as the total size of blocks are almost the same.",", "
"   Rename Method,Extract Method,","Optimization in data loading for skewed data In one of my cases, carbondata has to load skewed data files. The size of data file ranges from 1KB to about 5GB.

In current implementation, carbondata will distribute the file blocks(splits) among the nodes to maximum the data locality and data evenly distributed, we call it `block-node-assignment` for short.

However, the current implementation has some problems.

The assignment is block number based. The goal is to make sure that all the nodes deal the same amount number of blocks. In the skewed data scenario described above, the block of a small file and the block of a big file are very different from its size (1KB v.s. 64MB). As a result, the difference of total data size assigned for each data node is very large.

In order to solve this problem, the size of block should be considered during the block-node-assignment. One node can deal more blocks than another as long as the total size of blocks are almost the same.","Duplicated Code, Long Method, , "
"   Rename Method,","Optimization in data loading for skewed data In one of my cases, carbondata has to load skewed data files. The size of data file ranges from 1KB to about 5GB.

In current implementation, carbondata will distribute the file blocks(splits) among the nodes to maximum the data locality and data evenly distributed, we call it `block-node-assignment` for short.

However, the current implementation has some problems.

The assignment is block number based. The goal is to make sure that all the nodes deal the same amount number of blocks. In the skewed data scenario described above, the block of a small file and the block of a big file are very different from its size (1KB v.s. 64MB). As a result, the difference of total data size assigned for each data node is very large.

In order to solve this problem, the size of block should be considered during the block-node-assignment. One node can deal more blocks than another as long as the total size of blocks are almost the same.",", "
"   Rename Class,Move And Rename Class,Rename Method,Move Method,Extract Method,Inline Method,Move Attribute,",Refactor on query scan process to improve readability ,"Duplicated Code, Long Method, , , , , "
"   Rename Class,Move And Rename Class,Rename Method,Move Method,Extract Method,Inline Method,Move Attribute,",Refactor on query scan process to improve readability ,"Duplicated Code, Long Method, , , , , "
"   Rename Class,Move And Rename Class,Rename Method,Move Method,Extract Method,Inline Method,Move Attribute,",Refactor on query scan process to improve readability ,"Duplicated Code, Long Method, , , , , "
"   Move Method,Extract Method,Move Attribute,",Presto Integration - Code Refactoring Presto Integration - Code Refactoring to remove unnecessary class and improve the performance.,"Duplicated Code, Long Method, , , , "
"   Move Class,Move Method,Move Attribute,",Remove carbon-spark dependency for sdk module store-sdk module should not depend on carbon-spark module,", , , "
"   Move Class,Move Method,Move Attribute,",Remove carbon-spark dependency for sdk module store-sdk module should not depend on carbon-spark module,", , , "
"   Move Class,Move Method,Move Attribute,",Remove carbon-spark dependency for sdk module store-sdk module should not depend on carbon-spark module,", , , "
"   Rename Method,Move Method,Extract Method,Move Attribute,",Restructure the partition folders as per the standard hive folders ,"Duplicated Code, Long Method, , , , "
"   Rename Method,Move Method,Extract Method,Move Attribute,",Restructure the partition folders as per the standard hive folders ,"Duplicated Code, Long Method, , , , "
"   Rename Method,Extract Method,","Optimization in unsafe sort during data loading Inspired by batch_sort, if we have enough memory, in local_sort with unsafe property, we can hold all the row pages in memory if possible and only spill the pages to disk as sort temp file if the memory is unavailable.

Before spilling the pages, we can do in-memory merge sort of the pages.

Each time we request an unsafe row page, if the memory is unavailable, we can trigger a merge sort for the in-memory pages and spill the result to disk as a sort temp file. So the incoming pages will be held into the memory instead of spilling to disk directly.

After this implementation, the data size during each spilling will be bigger than that of before and will benefit the disk IO.","Duplicated Code, Long Method, , "
"   Rename Class,Extract Method,","Support write JSON/Avro data to carbon files In SDK, user should be able to write JSON or Avro data to carbon files","Duplicated Code, Long Method, , "
"   Rename Method,",Collect SQL execution information to driver side ,", "
"   Move Method,Extract Method,",Support SDK API to read schema in data file and schema file ,"Duplicated Code, Long Method, , , "
"   Rename Class,Move Method,","Save the datamaps to system folder of warehouse *Problem*
Currently, datamap schema is saved inside the main table schema itself. This approach cannot satisfy if a datamap belongs to more than one table. For suppose if we need to create a datamap joining 2 tables then we cannot keep the datamap schema under any one table.
And also accessing the datamaps required to read the main table schema every time, it is not well optimized. And if we need to create multiple datamaps for a table then all datamaps need to store under the schema of that table so the size of main table schema grows and impacts the performance.

*Solution*
Make the datamap schema independent of main table schema. And store the schema underÂ {{_system}}folder location. This location is configurable by using carbon propertyÂ {{carbon.system.folder.location}}Â , by default, it stores under the store location.
Created datamap schema in JSON format for better readability. And has the interfaces to store it in database.
MadeÂ {{on table <tablename>}}Â for datamap DDL as optional , so now user can create/drop or show datamaps withoutÂ {{on table}}Â option.",", , "
"   Rename Method,Pull Up Method,Move Method,Extract Method,Pull Up Attribute,",Refactored code to improve Distributable interface ,"Duplicated Code, Long Method, , , Duplicated Code, Duplicated Code, "
"   Rename Method,Pull Up Method,Move Method,Extract Method,Pull Up Attribute,",Refactored code to improve Distributable interface ,"Duplicated Code, Long Method, , , Duplicated Code, Duplicated Code, "
"   Rename Method,Extract Method,","Distributed search mode using gRPC When user gives SQL statement that only includes projection and filter, we can use RPC calls to do distributed scan on the carbon files directly instead of using RDD to do the query. In this mode, RDD overhead like RDD construction and DAG scheduling is avoided.","Duplicated Code, Long Method, , "
